contrast,dissimilarity,homogeneity,energy,correlation,ASM,image_name,LAI
1285.536284,22.81957153,0.083785139,0.010453409,0.824436298,0.000110463,20240925-2,5.808146667
1575.19311,24.47702612,0.095715926,0.012284014,0.826799697,0.000152375,20240925-3,6.31393
1877.357865,29.23526399,0.064522723,0.009661118,0.740483204,9.41E-05,20240925-4,3.439013333
1196.841849,22.54916689,0.081425222,0.010488458,0.784842555,0.000111029,20240925-6,3.744013333
2097.651029,28.72359657,0.073485041,0.00943211,0.776601983,8.97E-05,20240927-1,4.30116
2200.125306,30.76714924,0.062753986,0.009004439,0.73187883,8.17E-05,20240927-4,4.177275
2317.387731,30.66406551,0.068799733,0.009750108,0.740661033,9.57E-05,20240927-7,5.402215
2187.028111,30.49761975,0.064903632,0.009418407,0.715790228,8.93E-05,20240927-8,3.6326325
1931.033618,28.63445039,0.06840667,0.009213546,0.792351575,8.57E-05,20240929-1,2.9964475
1775.002155,27.33526092,0.067773582,0.009998368,0.790267177,0.00010077,20240929-3,4.96937
1630.15892,27.96424877,0.054990161,0.00938752,0.749505384,8.87E-05,20240929-4,3.81491
1868.009901,29.46894249,0.056702426,0.008839851,0.744890628,7.86E-05,20240929-5,2.4766025
1471.685994,25.8319477,0.062597435,0.010261983,0.736260355,0.000105994,20240929-6,3.16115
1016.666704,19.94484882,0.092588155,0.011044426,0.863545761,0.000123091,20240929-7,5.713025
2516.283107,35.6434913,0.04465683,0.008430198,0.698192508,7.14E-05,20240929-8,1.2269875
2661.820883,34.70633699,0.056244367,0.008838206,0.711773246,7.86E-05,20241002-1,4.400435
2105.063515,26.80867917,0.100087357,0.012202956,0.792501489,0.00015065,20241002-2,6.615065
2574.352526,32.93253471,0.069149375,0.010405767,0.716365088,0.00010927,20241002-3,5.8403875
2142.030194,28.74793476,0.076809845,0.010867157,0.766023114,0.000119126,20241003-2,5.1242625
1770.951605,26.85163941,0.072290396,0.009432313,0.807130995,8.96E-05,20241005-2,3.93872
1786.255618,25.74574972,0.081028534,0.010876857,0.750008618,0.000119263,20241005-3,5.8013775
3106.964953,36.69903789,0.062202741,0.00954588,0.67597102,9.20E-05,20241005-4,2.584205
1545.707105,24.79118733,0.074533232,0.011926815,0.790584424,0.00014375,20241010-3,7.1745875
2457.935281,34.73121479,0.046261332,0.008325211,0.71081732,6.97E-05,20241010-6,2.725795
1965.726992,30.76034274,0.050903491,0.008951547,0.722755577,8.05E-05,20241010-7,2.48287
3727.116419,40.84123253,0.054143908,0.008539863,0.659512047,7.34E-05,20241015-2,4.5982675
2567.151594,31.63507105,0.077081397,0.010931912,0.731063201,0.000120665,20241015-3,4.165505
3289.730601,37.25418757,0.058734748,0.011248234,0.624186122,0.000127657,20241015-4,2.96275
3565.058876,40.47693886,0.048979478,0.00889467,0.577923843,7.95E-05,20241017-1,4.6209625
2930.787492,37.47051744,0.050272041,0.00851936,0.60444231,7.29E-05,20241017-2,3.9570975
2175.80257,32.34705808,0.053013204,0.008606807,0.654470634,7.45E-05,20241017-5,2.4568
2800.637361,35.84874149,0.052031889,0.008719243,0.629477793,7.64E-05,20241017-6,2.383605
2284.670806,31.99384619,0.062197847,0.009310866,0.687630028,8.73E-05,20241017-7,4.0016325
2870.179599,37.04507705,0.045408723,0.008375938,0.691368682,7.05E-05,20241019-10,4.4105225
1505.633877,23.88515834,0.079908617,0.012709072,0.779803763,0.000162954,20241019-6,6.02086
2617.620369,34.83665919,0.049721821,0.008784852,0.730814188,7.77E-05,20241019-9,2.934035
2100.00525,30.70076223,0.053985668,0.008682298,0.70167537,7.58E-05,20241020-1,4.0573775
2858.101709,36.15367363,0.049306077,0.008403743,0.578612365,7.10E-05,20241020-5,3.529085
2201.038881,28.30169909,0.089091112,0.012481538,0.770661023,0.000157064,20241025-1,7.9864
1959.754592,27.44442237,0.082380957,0.010456255,0.787927098,0.000110348,20241025-3,5.097045
1842.181473,25.4181603,0.096392403,0.012042875,0.834086352,0.000146323,20241025-4,7.0677
2308.979476,29.77449032,0.075014741,0.010410742,0.743432975,0.000109393,20241025-6,4.7435025
1108.834066,21.06467522,0.085726263,0.011319987,0.80441011,0.000129659,20241027-1,5.309835
825.7231355,17.76324992,0.105644655,0.012827926,0.767367165,0.000166387,20241027-3,8.1227825
655.3327165,15.69825535,0.113074642,0.013025061,0.858016369,0.00017173,20241027-4,6.57779
995.6971675,20.19388907,0.08448795,0.010987928,0.774499339,0.000121963,20241027-6,4.07222
2873.912147,35.26525443,0.057090107,0.010173147,0.666924062,0.000104325,20241028-2,2.9681125
3115.737051,37.34827962,0.055144517,0.009021766,0.703224815,8.19E-05,20241028-3,3.5971525
1866.763286,29.17236914,0.057529056,0.00875189,0.740710051,7.71E-05,20241028-5,3.36133
1151.980792,22.34308101,0.077574037,0.01085664,0.770909214,0.000119059,20241029-1,8.00959
1178.10503,22.6924929,0.071369252,0.010197436,0.762008811,0.000104916,20241029-2,5.014885
1268.618508,21.88527165,0.083179762,0.014675103,0.635518145,0.000217099,20241031-1,7.4919375
2392.862787,30.82490371,0.072015052,0.009880779,0.744550332,9.84E-05,20241031-2,4.0013825
2478.553325,32.13382245,0.064822213,0.009312735,0.724746315,8.75E-05,20241031-4,4.9884125
2743.080286,33.14748292,0.070660385,0.010042137,0.754733221,0.000101672,20241031-6,4.3335875
